"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade","(D)",4522,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",6074,6323
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",3089,3029,3497,3953,4041,4532,4514,5060,4646,4884,5226,5745,5815,6823
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",4504,4524,4912,5378,5529,6127,6070,6363,6780,6755,7383,7662,8548,8737
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",23836,25292,26856,28631,30241,31947,33827,34010,34388,35459,36658,39039,40889,43108
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",84.875,87.814,91.380,94.566,96.249,99.423,100.806,100.309,100.000,102.450,104.747,107.808,110.898,113.596
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",83.475,86.288,90.400,94.172,96.143,99.179,101.159,100.450,100.000,101.902,104.442,107.918,111.711,114.742
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",32.437,36.325,44.115,64.512,50.473,48.772,47.205,63.550,100.000,74.633,81.855,55.407,105.708,"(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",95.718,97.196,104.575,106.982,102.216,101.125,91.366,92.763,100.000,100.595,101.768,105.184,110.244,110.435
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",84.468,80.116,84.774,88.990,92.620,106.149,103.425,104.375,100.000,102.900,109.777,112.297,113.882,115.579
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","14","321","    Wood products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","17","332","    Fabricated metal products","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","18","333","    Machinery manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","19","334","    Computer and electronic products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
