"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",241,"(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",683,730,776,827,840,861,951,939,961,1053,1143,1245,1318,1364
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",184,182,193,210,214,220,289,256,286,352,412,458,300,313
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities",65,62,66,71,77,81,94,80,79,78,91,97,107,"(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries",119,120,127,139,137,139,195,176,207,274,321,361,193,"(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",499,548,582,617,626,641,662,683,675,701,731,787,1018,1050
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",92,105,104,109,116,112,121,125,105,105,110,126,344,"(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",407,443,478,508,511,529,541,558,570,596,620,661,674,"(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",704,758,728,763,800,827,811,795,776,763,771,786,809,814
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",2110,2228,2403,2587,2742,2887,3064,3215,3330,3455,3412,3404,3465,3498
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",218,229,236,246,250,261,272,264,261,281,271,267,267,"(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",76,91,121,123,141,140,140,151,159,160,154,151,147,"(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",1815,1909,2047,2218,2351,2485,2652,2800,2909,3014,2987,2986,3051,"(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",109,101,"(D)","(D)",151,171,218,238,216,248,252,"(D)","(D)","(D)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",2798,2867,3026,3202,3444,"(D)","(D)","(D)","(D)","(D)","(D)",4421,"(D)","(D)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",1965,1984,"(D)","(D)",1640,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",7347,7447,5878,5616,5961,6218,6285,6152,5975,6056,6103,"(D)",6105,6365
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",14437,15086,16516,17678,18576,19548,20452,20842,20736,21784,22459,"(D)",24233,25553
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",98.170,100.259,98.684,99.722,101.811,103.414,104.228,103.601,100.000,103.348,104.130,104.739,105.931,109.233
