"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",28,32,38,42,51,50,53,52,55,57,57,54,52,"(NA)"
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",503,532,544,567,597,626,641,687,720,755,743,741,754,"(NA)"
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining","(D)","(D)","(D)",264,"(D)",265,"(D)","(D)","(D)","(D)",358,438,331,"(D)"
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",910,907,882,966,958,986,892,916,931,1001,1067,1120,1219,1276
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities","(D)","(D)","(D)",198,202,230,262,279,273,"(D)",311,330,327,358
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries","(D)","(D)","(D)",2153,"(D)",2307,"(D)","(D)","(D)","(D)",2193,2408,2301,"(D)"
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries","(D)","(D)","(D)",3907,"(D)",4127,"(D)","(D)","(D)","(D)",4709,4753,5137,"(D)"
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",91.951,96.070,99.148,104.914,105.676,104.919,102.422,102.424,100.000,102.014,102.910,103.463,104.684,106.157
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",92.371,96.911,100.479,107.019,107.649,106.619,103.881,103.425,100.000,102.444,103.799,104.767,106.432,108.016
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",55.014,70.367,72.814,83.616,85.173,104.146,74.116,111.148,100.000,102.410,86.584,106.294,75.033,"(NA)"
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining",110.881,133.751,121.305,162.022,164.283,173.533,142.937,125.180,100.000,151.025,"(D)",123.666,127.769,123.553
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction",49.112,69.643,29.495,35.371,16.132,22.956,73.068,19.026,100.000,1363.075,1535.579,1520.009,1483.287,"(NA)"
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas",110.899,133.771,121.329,162.055,"(D)","(D)","(D)","(D)",100.000,150.873,"(D)",123.486,127.594,"(NA)"
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining",0.000,0.000,0.000,0.000,"(D)","(D)","(D)","(D)",0.000,0.000,0.000,0.000,0.000,"(NA)"
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities","(D)","(D)","(D)",39.477,38.718,56.402,100.334,105.962,100.000,"(D)",127.754,141.611,134.955,124.553
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",112.861,119.437,124.344,127.819,119.038,114.215,111.403,103.569,100.000,105.736,107.198,117.113,115.067,120.699
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",107.991,104.760,115.957,133.472,135.382,130.252,117.516,113.526,100.000,102.749,105.875,106.824,103.707,104.961
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing",100.942,98.474,"(D)",118.453,119.118,"(D)",125.710,126.205,100.000,114.367,123.247,132.902,136.391,137.158
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","14","321","    Wood products manufacturing","(D)","(D)",74.272,82.042,64.520,68.031,86.912,91.986,100.000,105.481,107.424,102.823,"(D)","(NA)"
"41060","St. Cloud, MN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
