"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",20,"(NA)"
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",22,"(NA)"
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",386,394
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",72,"(NA)"
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",314,"(NA)"
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",194,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",299,318
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",2095,2228,2372,2479,2770,2963,3081,3353,3607,3749,4037,4236,4166,4164
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",320,347,347,340,373,402,429,454,496,549,623,641,617,"(NA)"
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",1011,1077,1184,1272,1485,1638,1695,1960,2104,2160,2338,2489,2424,"(NA)"
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",764,804,840,867,912,923,957,940,1007,1040,1075,1106,1125,"(NA)"
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",52,55,64,65,61,66,62,73,69,69,71,79,"(D)",84
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade","(D)","(D)","(D)","(D)","(D)","(D)","(D)",998,954,"(D)","(D)","(D)",1159,1128
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",172,178,179,199,209,220,214,256,295,281,313,304,267,260
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",1796,1712,1636,1751,1723,1709,1687,1601,1528,1596,1694,1785,1796,1874
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",4657,4582,4971,5146,5492,5815,6400,6390,6558,6848,7013,7048,7450,7691
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",89.512,87.040,89.460,90.817,93.379,94.873,98.229,98.105,100.000,102.506,105.702,105.866,106.716,107.026
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",93.374,89.575,92.982,94.900,96.504,97.770,102.681,100.205,100.000,103.144,105.128,103.624,106.094,107.301
"17980","Columbus, GA-AL (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
