"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities",14,"(D)","(D)","(D)","(D)",23,21,21,"(D)","(D)","(D)","(D)",27,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries",35,"(D)","(D)","(D)","(D)",45,41,51,"(D)","(D)","(D)","(D)",76,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",391,428,454,456,505,552,574,529,550,568,594,662,759,818
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",87,92,92,94,107,116,126,123,118,120,132,158,181,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",304,336,362,362,398,435,448,406,433,448,462,503,579,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",331,344,336,346,350,361,381,383,386,385,390,441,468,509
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",2024,2140,2254,2411,2523,2634,2755,2824,2891,2988,2970,2999,2942,2994
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",447,479,538,618,630,674,720,750,771,794,819,792,712,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",411,435,456,505,553,584,582,575,556,546,545,561,553,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",1166,1226,1260,1288,1341,1376,1452,1499,1564,1648,1606,1647,1678,"(NA)"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",539,516,821,981,1180,1366,1855,2606,2040,2788,3434,4016,4808,5409
