"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","65","56","   Administrative and waste management services","(D)","(D)","(D)","(D)","(D)",106,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",100
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","66","561","    Administrative and support services","(D)","(D)","(D)","(D)","(D)","(D)",95,93,81,84,89,87,85,"(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",365,401,437,460,484,501,533,593,611,647,671,710,735,760
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","69","61","   Educational services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","70","62","   Health care and social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","71","621","    Ambulatory health care services",158,173,184,191,210,227,249,285,294,287,299,321,329,"(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",240,271,286,301,"(D)","(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","73","624","    Social assistance",25,26,29,32,34,35,33,36,"(D)","(D)","(D)","(D)",44,"(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",190,206,214,221,234,244,259,266,267,284,297,318,333,341
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","75","71","   Arts, entertainment, and recreation",28,31,33,33,36,38,40,39,40,46,46,46,47,50
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities",9,11,11,12,13,15,14,"(D)",15,16,17,17,"(D)","(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries",19,20,22,21,22,23,25,"(D)",25,29,28,29,"(D)","(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",162,175,181,188,198,206,220,227,227,238,251,272,286,291
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",63,72,73,77,83,87,96,99,92,94,102,110,119,"(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",99,102,108,111,115,119,124,128,135,144,149,161,166,"(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",140,141,"(D)",157,159,164
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",683,745,803,841,857,891,912,944,992,1091,1127,1114,1066,1090
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",154,166,175,169,174,182,173,146,182,220,236,225,170,"(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",204,242,268,283,279,286,298,317,330,362,374,375,371,"(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",326,337,360,388,404,423,440,481,480,509,517,514,525,"(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",63,53,"(D)",75,87,51,54,77,42,75,118,119,74,66
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",514,538,575,"(D)",653,659,677,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",163,187,192,"(D)",240,254,270,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",562,683,578,632,663,605,629,601,552,544,609,664,637,663
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",2271,2553,2721,2824,2980,3199,3396,3575,3596,3775,3903,4045,4199,4364
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",81.553,90.753,91.408,92.928,94.564,95.668,97.749,99.836,100.000,103.530,106.230,106.949,106.003,107.407
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",78.654,88.901,89.286,91.147,93.794,95.196,98.151,100.625,100.000,102.716,105.712,107.259,107.476,109.056
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",279.197,234.162,381.314,278.929,409.076,167.048,131.859,242.309,100.000,220.124,335.437,320.173,155.267,"(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"39660","Rapid City, SD (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
