"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction",16.471,20.719,33.830,108.787,58.982,107.854,85.977,58.448,100.000,43.044,"(D)","(D)","(D)","(NA)"
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",142.030,124.303,130.920,129.672,128.216,124.910,129.093,115.499,100.000,90.717,86.513,91.568,90.059,107.857
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",124.817,130.409,137.228,106.048,103.043,101.727,111.212,106.026,100.000,106.523,114.209,110.430,111.661,118.040
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","14","321","    Wood products manufacturing","(D)",88.814,91.476,115.984,133.699,136.151,184.852,126.034,100.000,114.772,"(D)","(D)",142.947,"(NA)"
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",193.485,"(D)","(D)","(D)","(D)",170.112,179.161,136.956,100.000,105.428,117.008,129.658,120.135,"(NA)"
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
