"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places","(D)",111,120,"(D)","(D)","(D)","(D)","(D)",145,"(D)",156,169,"(D)","(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",115,120,120,"(D)",131,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",875,918,987,1004,1062,1319,1167,1241,1302,1309,1408,1415,1438,1450
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",33,34,34,36,41,43,38,38,40,39,37,35,31,"(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",21,23,26,26,29,30,32,35,37,39,42,37,37,"(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",821,862,927,941,992,1246,1097,1168,1225,1231,1329,1342,1370,"(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",32,25,26,30,26,27,32,39,39,63,65,"(D)","(D)","(D)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",997,1021,1065,1189,1296,1297,1465,1594,1760,1836,1796,"(D)","(D)","(D)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",2141,2111,2228,2375,2510,2647,2883,2984,3080,3066,3005,"(D)","(D)","(D)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",80.560,79.722,82.696,86.100,89.138,93.446,95.288,98.158,100.000,100.402,98.496,95.253,94.874,94.202
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",77.726,76.344,79.246,84.282,87.692,88.397,95.244,98.200,100.000,101.086,97.137,93.383,92.917,92.357
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",15.214,23.567,43.794,68.154,53.112,39.375,43.804,70.110,100.000,116.419,98.668,50.192,146.140,"(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction",12.990,18.979,10.323,12.355,15.414,41.067,50.824,71.000,100.000,75.889,108.226,320.131,280.024,"(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)",422.214,1420.943,100.000,33.536,30.828,0.000,0.000,"(NA)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",143.498,138.104,146.873,154.712,149.522,132.224,125.150,113.075,100.000,94.291,94.431,104.372,101.369,93.492
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",57.340,59.301,61.451,69.489,75.753,75.461,86.777,93.957,100.000,105.026,99.239,87.861,85.137,84.281
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"14020","Bloomington, IN (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","14","321","    Wood products manufacturing",57.677,61.000,65.519,60.134,73.336,79.473,118.356,116.621,100.000,88.258,89.758,"(D)",67.077,"(NA)"
