"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","77","713","    Amusements, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)","(D)",26,31,33,"(D)","(D)","(D)","(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","78","72","   Accommodation and food services",90,96,102,101,99,112,117,120,122,127,129,135,140,140
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","79","721","    Accommodation",20,22,26,22,23,25,26,27,23,24,26,29,28,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","80","722","    Food services and drinking places",70,73,77,79,77,87,91,93,99,102,102,106,111,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",75,81,79,82,89,97,94,98,100,104,106,106,108,107
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",467,490,522,548,585,604,619,656,703,717,719,734,731,737
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",150,157,167,178,183,190,198,215,231,246,248,251,248,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",35,38,42,44,53,55,54,65,68,66,43,36,34,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",282,295,313,326,349,359,368,376,404,406,429,447,448,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",313,288,271,332,461,518,652,870,787,1074,1390,1129,1258,1453
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade",442,466,464,500,554,583,590,608,602,622,642,645,647,625
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",91,92,87,98,102,111,110,113,112,131,144,109,111,108
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",550,515,486,588,750,842,953,1159,1042,1336,1712,1479,1593,1773
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",1699,1809,1829,1893,2008,2149,2087,2099,2106,2254,2239,2271,2273,2246
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",96.346,97.190,95.439,97.288,101.578,103.963,101.805,104.605,100.000,108.204,112.964,107.290,109.298,112.056
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",97.671,98.555,96.020,98.299,103.073,106.139,103.810,106.666,100.000,110.252,116.435,109.337,112.269,115.772
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",118.463,178.549,180.998,109.013,108.491,191.460,137.129,120.161,100.000,77.756,76.436,98.361,110.959,128.817
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",0.000,164.846,229.970,0.000,0.000,241.343,102.716,101.604,100.000,92.822,121.285,179.305,233.943,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities",152.707,168.665,146.891,149.992,149.274,170.939,152.042,127.747,100.000,72.123,57.382,61.688,52.521,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining",99.057,84.732,74.401,79.151,88.307,84.215,97.954,115.792,100.000,123.930,145.619,119.781,136.884,160.055
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities",113.796,117.006,105.803,108.848,96.645,100.845,102.731,101.518,100.000,138.612,143.387,84.548,86.785,82.726
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",142.903,127.876,116.739,128.415,120.614,125.772,116.004,111.418,100.000,104.957,105.545,104.141,96.358,86.309
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",99.911,98.902,92.563,103.330,123.042,133.404,119.192,114.789,100.000,101.000,142.797,161.372,157.646,150.773
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing",105.481,109.139,99.989,112.358,135.543,"(D)",129.463,120.173,100.000,101.733,146.494,160.696,157.396,142.188
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","14","321","    Wood products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing","(D)",61.690,79.430,85.561,88.754,113.956,108.492,127.155,100.000,98.924,97.293,116.287,81.059,"(NA)"
