"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","81","81","  Other services, except government",336,374,382,401,425,448,459,468,468,467,477,492,518,548
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","82","92"," Government",3021,3216,3455,3609,3872,4108,4262,4358,4631,4770,4824,4861,4904,4942
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","83","...","  Federal civilian",572,603,624,645,685,738,770,801,880,928,982,995,967,"(NA)"
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","84","...","  Federal military",610,659,748,781,852,918,986,1098,1179,1239,1216,1211,1232,"(NA)"
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","85","...","  State and local",1840,1954,2083,2183,2335,2452,2506,2458,2572,2603,2626,2656,2704,"(NA)"
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","86","11, 21","Natural resources and mining",182,182,"(D)","(D)",235,241,214,"(D)","(D)","(D)",236,"(D)","(D)","(D)"
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","87","42, 44-45","Trade","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2218
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","88","...","Transportation and utilities",644,678,712,812,888,997,997,1016,1061,1148,1310,1396,"(D)",1489
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","89","...","Private goods-producing industries",3623,3595,3752,3806,3877,3999,4016,3932,3930,3909,4026,4204,4138,4055
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","90","...","Private services-providing industries",8249,8368,8672,8963,9373,9409,9727,10030,10324,10970,11323,11532,11790,12331
